,Community Area Number,COMMUNITY AREA NAME,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
39,40,Washington Park,42.1,25.4,0.37,21.56,64.13,18.87,0.0,1.02,36.25,5.76,8.74,0.28,0.37,0.09,0.93,0.0,0.0,0.37,7.53,14.22,0.09,2.32,0.0,16.64,0.0,0.0,2.04,11.53,0.84,0.09,37.64,4.09
40,41,Hyde Park,18.4,4.3,0.0,2.91,7.21,3.21,0.0,0.49,5.86,1.23,4.85,0.04,0.0,0.0,0.07,0.0,0.0,0.0,3.25,0.56,0.0,0.41,0.0,3.66,0.0,0.04,0.26,3.44,0.45,0.07,18.19,0.11
41,42,Woodlawn,30.7,16.5,0.32,11.04,32.77,11.33,0.0,0.48,17.86,3.47,5.68,0.16,0.32,0.0,1.13,0.04,0.12,0.0,4.76,10.16,0.0,1.41,0.0,13.46,0.32,0.0,1.89,6.89,0.6,0.0,22.73,3.39
42,43,South Shore,31.1,14.0,0.21,14.98,47.26,17.12,0.0,1.06,23.55,4.2,9.63,0.09,0.39,0.02,1.36,0.07,0.16,0.02,6.13,14.96,0.07,2.07,0.0,17.07,0.57,0.0,1.72,7.86,0.62,0.14,33.89,2.48
43,44,Chatham,27.8,14.5,0.18,13.05,37.61,10.49,0.03,0.53,16.69,3.32,10.61,0.06,0.68,0.0,0.76,0.03,0.21,0.03,5.02,11.52,0.03,1.23,0.0,11.99,0.65,0.0,1.38,8.11,0.41,0.12,39.19,3.06
44,45,Avalon Park,17.2,10.6,0.4,12.36,27.31,8.77,0.0,1.0,15.85,2.49,6.68,0.1,0.2,0.0,0.7,0.0,0.1,0.1,5.88,9.07,0.0,1.3,0.0,11.56,0.0,0.0,1.2,6.48,0.2,0.0,23.03,2.99
45,46,South Chicago,29.8,26.6,0.39,12.97,37.75,10.14,0.0,0.71,18.1,4.2,5.58,0.22,0.39,0.0,1.6,0.1,0.22,0.1,4.49,14.25,0.0,2.28,0.0,14.44,0.13,0.0,2.18,5.49,0.39,0.19,23.11,3.18
46,47,Burnside,33.0,19.3,0.3,10.37,20.45,5.63,0.3,0.59,16.0,2.67,6.22,0.89,0.89,0.0,0.3,0.0,0.0,0.0,7.11,5.93,0.0,1.19,0.0,9.78,0.0,0.0,0.3,5.04,0.3,0.3,16.89,2.96
47,48,Calumet Heights,11.5,11.0,0.13,8.08,17.43,6.53,0.0,0.61,13.12,2.02,5.99,0.0,0.13,0.0,0.61,0.13,0.2,0.07,4.58,4.85,0.0,0.87,0.0,7.74,0.0,0.0,0.61,4.37,0.54,0.13,19.11,1.35
48,49,Roseland,19.8,16.9,0.28,11.74,30.41,10.11,0.0,0.74,16.81,3.16,6.59,0.23,0.38,0.04,0.85,0.06,0.15,0.08,5.15,10.96,0.02,1.31,0.0,8.99,1.0,0.0,1.23,5.66,0.28,0.04,20.47,3.33
